concept;prefLabel;narrowMatch;broadMatch;closeMatch;altLabel
http://example.org/skos/libri_thesauri_121;Prussian mythology;;;http://www.wikidata.org/entity/Q1341037,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_Prusow;Mitologia_Prusow@pl
http://example.org/skos/libri_thesauri_3265;Slavic mythology;http://example.org/concepts/libri_thesauri_3110,http://example.org/concepts/libri_thesauri_529;http://example.org/concepts/libri_thesauri_1250;http://www.wikidata.org/entity/Q201571,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_slowianska,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph125649;slovanská mytologie@cs,Mitologia_slowianska@pl
http://example.org/skos/libri_thesauri_119;Hungarian mythology;;;http://www.wikidata.org/entity/Q919887,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_wegierska;Mitologia_wegierska@pl
http://example.org/skos/libri_thesauri_113;free indirect speech;;;http://www.wikidata.org/entity/Q1355481,https:/bn-lit-skos.lab.dariah.pl/scheme/Mowa_pozornie_zalezna;Mowa_pozornie_zalezna@pl
http://example.org/skos/libri_thesauri_110;Conrad Award;;;http://www.wikidata.org/entity/Q47468270,https:/bn-lit-skos.lab.dariah.pl/scheme/Nagroda_Conrada;Nagroda_Conrada@pl
http://example.org/skos/libri_thesauri_109;Kościelski Award;;http://example.org/concepts/libri_thesauri_13232;http://www.wikidata.org/entity/Q474063,https:/bn-lit-skos.lab.dariah.pl/scheme/Nagroda_Fundacji_im_Koscielskich;Nagroda_Fundacji_im_Koscielskich@pl
http://example.org/skos/libri_thesauri_107;Akutagawa Prize;;;http://www.wikidata.org/entity/Q424160,https:/bn-lit-skos.lab.dariah.pl/scheme/Nagroda_im_Akutagawy;Nagroda_im_Akutagawy@pl
http://example.org/skos/libri_thesauri_105;Karl Dedecius Award;;;http://www.wikidata.org/entity/Q65175248,https:/bn-lit-skos.lab.dariah.pl/scheme/Nagroda_im_Karla_Dedeciusa;Nagroda_im_Karla_Dedeciusa@pl
http://example.org/skos/libri_thesauri_104;Kazimierz Wyka Award;;;http://www.wikidata.org/entity/Q11789162,https:/bn-lit-skos.lab.dariah.pl/scheme/Nagroda_im_Kazimierza_Wyki;Nagroda_im_Kazimierza_Wyki@pl
http://example.org/skos/libri_thesauri_103;Wislawa Szymborska Award;;;http://www.wikidata.org/entity/Q16581340,https:/bn-lit-skos.lab.dariah.pl/scheme/Nagroda_im_Wislawy_Szymborskiej;Nagroda_im_Wislawy_Szymborskiej@pl
