concept;prefLabel;altLabel;relatedMatch;exactMatch
http://example.org/skos/ELB_concept_38;essay;Ensayos', 'Esej', 'esej', 'eseje', 'Eseje';https://data.bn.org.pl/api/institutions/authorities.json?id=1000000026492', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph965037', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph262208', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph323741', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph138463', 'http://www.yso.fi/onto/yso/p19188', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph122715', 'http://www.yso.fi/onto/yso/p9617', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph138517', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph265662', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph241941', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph233629', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph335993', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph702821', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph296982', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph265660', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph138478', 'http://www.wikidata.org/entity/Q109245636', 'http://www.wikidata.org/entity/Q35760';https://data.bn.org.pl/api/institutions/authorities.json?id=35873784', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph203855', 'http://www.wikidata.org/entity/Q35760'
http://example.org/skos/ELB_concept_39;fable;bajky', 'Fábulas';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph215918', 'http://www.yso.fi/onto/yso/p15906', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph118726', 'http://www.wikidata.org/entity/Q693';
http://example.org/skos/ELB_concept_40;fairy tale;Baśń', 'Cuentos de hadas', 'pohádky', 'sadut';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph249609', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph553923', 'http://www.yso.fi/onto/yso/p6673', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph128144', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph288772', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph217885', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph118712', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph120074', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph196687', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph121564', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph351783', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph203885', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph121300', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph545375', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2513298', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1000341', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2270882', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph120199', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph525176', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph161982', 'http://www.yso.fi/onto/yso/p18228', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph123515', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph274682', 'http://www.wikidata.org/entity/Q1747998', 'http://www.wikidata.org/entity/Q2349495';http://www.yso.fi/onto/yso/p15564', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph124208'
http://example.org/skos/ELB_concept_41;family saga;;http://www.yso.fi/onto/yso/p16059', 'http://www.wikidata.org/entity/Q2802102';
http://example.org/skos/ELB_concept_42;fantastic literature;;;
http://example.org/skos/ELB_concept_43;fantastic novel;Novela fantástica', 'Powieść fantastyczna', 'román fantastický';;
http://example.org/skos/ELB_concept_44;fantastic story;;;
http://example.org/skos/ELB_concept_45;fantasy literature;fantasiakirjallisuus', 'fantasy literatura', 'Literatura fantastyczna';https://data.bn.org.pl/api/institutions/authorities.json?id=1001535';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph120132', 'http://www.yso.fi/onto/yso/p14840', 'http://www.wikidata.org/entity/Q1057172'
http://example.org/skos/ELB_concept_46;fantasy novel;fantasiaromaanit', 'fantasy novela';;https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph882557', 'http://www.wikidata.org/entity/Q59342621'
http://example.org/skos/ELB_concept_47;folk drama;folk drama', 'lidové drama';;
