entity,source
Sebastian Gadomski,Biblioteka Narodowa - kartoteka autorytatywna
William Walker,Biblioteka Narodowa - kartoteka autorytatywna
Ronald Jenn,Biblioteka Narodowa - kartoteka autorytatywna
Tomáš Horváth,Biblioteka Narodowa - kartoteka autorytatywna
Christopher Adam Zakrzewski,Biblioteka Narodowa - kartoteka autorytatywna
Bronisław Nadolski,Biblioteka Narodowa - kartoteka autorytatywna
Anna Drzewicka,Biblioteka Narodowa - kartoteka autorytatywna
Damaskin,Biblioteka Narodowa - kartoteka autorytatywna
Ìsìdar Bas,Biblioteka Narodowa - kartoteka autorytatywna
Kaja Gostkowska,Biblioteka Narodowa - kartoteka autorytatywna
Anna Spólna,Biblioteka Narodowa - kartoteka autorytatywna
Patricia Ann Krafcik,Biblioteka Narodowa - kartoteka autorytatywna
Valentina Mihajlìvna Kovalenko,Biblioteka Narodowa - kartoteka autorytatywna
Miroslava Stepanìvna Medic'ka,Biblioteka Narodowa - kartoteka autorytatywna
Tomasz Kulka,Biblioteka Narodowa - kartoteka autorytatywna
Agnieszka Marek,Biblioteka Narodowa - kartoteka autorytatywna
Viktor Vladimirovič Barabaš,Biblioteka Narodowa - kartoteka autorytatywna
Béla Köpeczi,Biblioteka Narodowa - kartoteka autorytatywna
Jasmina Šuler-Galos,Biblioteka Narodowa - kartoteka autorytatywna
Ksenia Bardadyn,Biblioteka Narodowa - kartoteka autorytatywna
Michael Joyce,Biblioteka Narodowa - kartoteka autorytatywna
Dorota Gładkowska,Biblioteka Narodowa - kartoteka autorytatywna
R. A. Scott-James,Biblioteka Narodowa - kartoteka autorytatywna
Józef Macjon,Biblioteka Narodowa - kartoteka autorytatywna
Jerzy Bolesta,Biblioteka Narodowa - kartoteka autorytatywna
Svìtlana Tarasìvna Šabat-Savka,Biblioteka Narodowa - kartoteka autorytatywna
Osman Fikri Sertkaya,Biblioteka Narodowa - kartoteka autorytatywna
Justyna Nowakowska,Biblioteka Narodowa - kartoteka autorytatywna
Eduardo Lourenço,Biblioteka Narodowa - kartoteka autorytatywna
Dariusz Cezary Maleszyński,Biblioteka Narodowa - kartoteka autorytatywna
Andrej Borisovič Moroz,Biblioteka Narodowa - kartoteka autorytatywna
Sofìâ Volodimirìvna Sokolova,Biblioteka Narodowa - kartoteka autorytatywna
Grzegorz Duliński,Biblioteka Narodowa - kartoteka autorytatywna
Jelle Stegeman,Biblioteka Narodowa - kartoteka autorytatywna
Renata Czekalska,Biblioteka Narodowa - kartoteka autorytatywna
İsa Əkbǝr oğlu Hǝbibbǝyli,Biblioteka Narodowa - kartoteka autorytatywna
Flawian Nikołajewicz Dobriański,Biblioteka Narodowa - kartoteka autorytatywna
Howard Hibbett,Biblioteka Narodowa - kartoteka autorytatywna
Tomasz Sajnóg,Biblioteka Narodowa - kartoteka autorytatywna
Steven Tötösy de Zepetnek,Biblioteka Narodowa - kartoteka autorytatywna
Katarzyna Macedulska,Biblioteka Narodowa - kartoteka autorytatywna
Celina Handzel,Biblioteka Narodowa - kartoteka autorytatywna
István Csapláros,Biblioteka Narodowa - kartoteka autorytatywna
Frederic Charles Roe,Biblioteka Narodowa - kartoteka autorytatywna
Izabela Front,Biblioteka Narodowa - kartoteka autorytatywna
Agnieszka Putzier,Biblioteka Narodowa - kartoteka autorytatywna
Monika Hernik-Młodzianowska,Biblioteka Narodowa - kartoteka autorytatywna
Stefan Hrabec,Biblioteka Narodowa - kartoteka autorytatywna
Jan Dihm,Biblioteka Narodowa - kartoteka autorytatywna
Jean-Pierre Thomas,Biblioteka Narodowa - kartoteka autorytatywna
Zofia Klingerowa,Biblioteka Narodowa - kartoteka autorytatywna
Květoslava Neradová,Biblioteka Narodowa - kartoteka autorytatywna
Marcel Bizos,Biblioteka Narodowa - kartoteka autorytatywna
Tat'âna Gennad'evna Prohorova,Biblioteka Narodowa - kartoteka autorytatywna
Marcin Krawczuk,Biblioteka Narodowa - kartoteka autorytatywna
Miroslav Oleksandrovič Moroz,Biblioteka Narodowa - kartoteka autorytatywna
Tadeusz Danilewicz,Biblioteka Narodowa - kartoteka autorytatywna
Joanna Miłaszewicz,Biblioteka Narodowa - kartoteka autorytatywna
Ivana Dobrakovová,Biblioteka Narodowa - kartoteka autorytatywna
Antonina Ivanovna Sumkina,Biblioteka Narodowa - kartoteka autorytatywna
Krystyna Jarocka,Biblioteka Narodowa - kartoteka autorytatywna
Hanna Kaczmarek,Biblioteka Narodowa - kartoteka autorytatywna
Lidia Sudyka,Biblioteka Narodowa - kartoteka autorytatywna
Lidija Tomić,Biblioteka Narodowa - kartoteka autorytatywna
Karina Bonowicz,Biblioteka Narodowa - kartoteka autorytatywna
Kazimierz Kozłowski,Biblioteka Narodowa - kartoteka autorytatywna
Barbara Orszewska,Biblioteka Narodowa - kartoteka autorytatywna
Vesna Bilić,Biblioteka Narodowa - kartoteka autorytatywna
Katarzyna Możuch,Biblioteka Narodowa - kartoteka autorytatywna
Raoul Bruni,Biblioteka Narodowa - kartoteka autorytatywna
Ita Hilton,Biblioteka Narodowa - kartoteka autorytatywna
Zbigniew Zielonka,Biblioteka Narodowa - kartoteka autorytatywna
Melania Tutak,Biblioteka Narodowa - kartoteka autorytatywna
Kamila Szpyra,Biblioteka Narodowa - kartoteka autorytatywna
Konstantinos Deligiorgis,Biblioteka Narodowa - kartoteka autorytatywna
Sergej Petrovič Lavlinskij,Biblioteka Narodowa - kartoteka autorytatywna
Danuta Ziółkowska,Biblioteka Narodowa - kartoteka autorytatywna
Ladislav Dolanský,Biblioteka Narodowa - kartoteka autorytatywna
Erich Heller,Biblioteka Narodowa - kartoteka autorytatywna
Romana Bobrowska,Biblioteka Narodowa - kartoteka autorytatywna
Valeryj Alâksandravìč Maksìmovìč,Biblioteka Narodowa - kartoteka autorytatywna
Anna Bednarczyk,Biblioteka Narodowa - kartoteka autorytatywna
Wilhelm Teudt,Biblioteka Narodowa - kartoteka autorytatywna
Christian Angerer,Biblioteka Narodowa - kartoteka autorytatywna
Pierre Gille,Biblioteka Narodowa - kartoteka autorytatywna
Horst Haselsteiner,Biblioteka Narodowa - kartoteka autorytatywna
Viktor Viktorovič Gol'cev,Biblioteka Narodowa - kartoteka autorytatywna
Laurence Hallewell,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandr Valer'evič Sažin,Biblioteka Narodowa - kartoteka autorytatywna
Anna Guzy,Biblioteka Narodowa - kartoteka autorytatywna
Wanda Żygulska-Pogonowska,Biblioteka Narodowa - kartoteka autorytatywna
Richard Ziegler,Biblioteka Narodowa - kartoteka autorytatywna
Krystian Saja,Biblioteka Narodowa - kartoteka autorytatywna
Hanna Raszewska,Biblioteka Narodowa - kartoteka autorytatywna
Marián Gálik,Biblioteka Narodowa - kartoteka autorytatywna
Wiktor Szkłowski,Biblioteka Narodowa - kartoteka autorytatywna
Merlin Bowen,Biblioteka Narodowa - kartoteka autorytatywna
Pietro Pucci,Biblioteka Narodowa - kartoteka autorytatywna
Aleksej Matveevič Smirnov,Biblioteka Narodowa - kartoteka autorytatywna
Herbert Anton,Biblioteka Narodowa - kartoteka autorytatywna
Munib Maglajlić,Biblioteka Narodowa - kartoteka autorytatywna
Nadia Gergało-Dąbek,Biblioteka Narodowa - kartoteka autorytatywna
Julius Mägiste,Biblioteka Narodowa - kartoteka autorytatywna
Nikołaj Jakowlewicz Marr,Biblioteka Narodowa - kartoteka autorytatywna
Otto Janda,Biblioteka Narodowa - kartoteka autorytatywna
Kapitalina Antonovna Kokšeneva,Biblioteka Narodowa - kartoteka autorytatywna
Elżbieta Hurnikowa,Biblioteka Narodowa - kartoteka autorytatywna
Ján Sedlák,Biblioteka Narodowa - kartoteka autorytatywna
Joanna Tarkowska,Biblioteka Narodowa - kartoteka autorytatywna
Silvia Bonacchi,Biblioteka Narodowa - kartoteka autorytatywna
Anna Nosek,Biblioteka Narodowa - kartoteka autorytatywna
Maciej Sulmicki,Biblioteka Narodowa - kartoteka autorytatywna
Wiesława Bartkiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Wiktor Czernianin,Biblioteka Narodowa - kartoteka autorytatywna
Bolesław Kamil Orłowski,Biblioteka Narodowa - kartoteka autorytatywna
Aharon Appelfeld,Biblioteka Narodowa - kartoteka autorytatywna
Zdzisław Jan Kapera,Biblioteka Narodowa - kartoteka autorytatywna
Wilhelm Wissmann,Biblioteka Narodowa - kartoteka autorytatywna
Leszek Żyliński,Biblioteka Narodowa - kartoteka autorytatywna
