entity,source
Lennox,Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Benny Griessel,Biblioteka Narodowa - kartoteka autorytatywna
Richard Hannay,Biblioteka Narodowa - kartoteka autorytatywna
Charlie Chan,Biblioteka Narodowa - kartoteka autorytatywna
Heniś,Biblioteka Narodowa - kartoteka autorytatywna
Aurora Teagarden,Biblioteka Narodowa - kartoteka autorytatywna
Jedi,Biblioteka Narodowa - kartoteka autorytatywna
Hubert Meyer,Biblioteka Narodowa - kartoteka autorytatywna
Reiko Himekawa,Biblioteka Narodowa - kartoteka autorytatywna
Arkadij Renko,Biblioteka Narodowa - kartoteka autorytatywna
Molly Murphy,Biblioteka Narodowa - kartoteka autorytatywna
Ali-Baba,Biblioteka Narodowa - kartoteka autorytatywna | 1600 postaci literackich | Bohaterowie naszych książek. Leksykon | Słownik postaci literackich (Makowiecki)
Piast,Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Rzepicha,Biblioteka Narodowa - kartoteka autorytatywna
Franek Plewa,Biblioteka Narodowa - kartoteka autorytatywna
Doktor Strange,Biblioteka Narodowa - kartoteka autorytatywna
Jakub Wędrowycz,Biblioteka Narodowa - kartoteka autorytatywna
Bob Budowniczy,Biblioteka Narodowa - kartoteka autorytatywna
Robert Nemhauser,Biblioteka Narodowa - kartoteka autorytatywna
Predator,Biblioteka Narodowa - kartoteka autorytatywna
Erica Foster,Biblioteka Narodowa - kartoteka autorytatywna
Luca Torelli,Biblioteka Narodowa - kartoteka autorytatywna
Tom Stilton,Biblioteka Narodowa - kartoteka autorytatywna
Hulk,Biblioteka Narodowa - kartoteka autorytatywna
Bloodshot,Biblioteka Narodowa - kartoteka autorytatywna
Lewis Barnavelt,Biblioteka Narodowa - kartoteka autorytatywna
Robin Hood,Biblioteka Narodowa - kartoteka autorytatywna | Szkolny słownik bohaterów literackich | Bohaterowie naszych książek. Leksykon | Słownik bohaterów literackich | Słownik postaci literackich (Makowiecki)
Michał Wołodyjowski,Biblioteka Narodowa - kartoteka autorytatywna
Daniel Jung,Biblioteka Narodowa - kartoteka autorytatywna
Michele Balistreri,Biblioteka Narodowa - kartoteka autorytatywna
Alan Banks,Biblioteka Narodowa - kartoteka autorytatywna
Durtal,Biblioteka Narodowa - kartoteka autorytatywna
Białek,Biblioteka Narodowa - kartoteka autorytatywna
Daredevil,Biblioteka Narodowa - kartoteka autorytatywna
Złota Kaczka,Biblioteka Narodowa - kartoteka autorytatywna
Ursus,1600 postaci literackich | Biblioteka Narodowa - kartoteka autorytatywna | Szkolny słownik bohaterów literackich | Słownik bohaterów literackich | Słownik postaci literackich (Makowiecki)
Koziołek Matołek,Biblioteka Narodowa - kartoteka autorytatywna | 1600 postaci literackich | Bohaterowie naszych książek. Leksykon | Słownik postaci literackich (Makowiecki)
Bing,Biblioteka Narodowa - kartoteka autorytatywna
Semiramida,Biblioteka Narodowa - kartoteka autorytatywna
Quasimodo,Biblioteka Narodowa - kartoteka autorytatywna | 1600 postaci literackich | Słownik postaci literackich (Makowiecki)
Esmeralda,Szkolny słownik bohaterów literackich | Biblioteka Narodowa - kartoteka autorytatywna | 1600 postaci literackich | Słownik postaci literackich (Makowiecki)
Dumbo,Biblioteka Narodowa - kartoteka autorytatywna
X-Men,Biblioteka Narodowa - kartoteka autorytatywna
Lacey Flint,Biblioteka Narodowa - kartoteka autorytatywna
Ahmanet,Biblioteka Narodowa - kartoteka autorytatywna
Nikodem Dyzma,Biblioteka Narodowa - kartoteka autorytatywna
Ra's al Ghul,Biblioteka Narodowa - kartoteka autorytatywna
Alicja Kalicka,Biblioteka Narodowa - kartoteka autorytatywna
David Stark,Biblioteka Narodowa - kartoteka autorytatywna
Sknerus McKwacz,Biblioteka Narodowa - kartoteka autorytatywna
Liu Hulan,Biblioteka Narodowa - kartoteka autorytatywna
Zły Kocurek,Biblioteka Narodowa - kartoteka autorytatywna
Dirk Pitt,Biblioteka Narodowa - kartoteka autorytatywna
Miś Yogi,Biblioteka Narodowa - kartoteka autorytatywna
King Kong,Biblioteka Narodowa - kartoteka autorytatywna
Radosław Tomaszewski,Biblioteka Narodowa - kartoteka autorytatywna
Erik Winter,Biblioteka Narodowa - kartoteka autorytatywna
Claes Claesson,Biblioteka Narodowa - kartoteka autorytatywna
Nora Sand,Biblioteka Narodowa - kartoteka autorytatywna
Thomas Ravnsholdt,Biblioteka Narodowa - kartoteka autorytatywna
Metabaronowie,Biblioteka Narodowa - kartoteka autorytatywna
Morgana Le Fey,Biblioteka Narodowa - kartoteka autorytatywna
Czarna Kotka,Biblioteka Narodowa - kartoteka autorytatywna
Tupcio Chrupcio,Biblioteka Narodowa - kartoteka autorytatywna
Czarna Manta,Biblioteka Narodowa - kartoteka autorytatywna
Shaun the Sheep,Biblioteka Narodowa - kartoteka autorytatywna
Miracleman,Biblioteka Narodowa - kartoteka autorytatywna
Dyl Sowizdrzał,Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Kicia Kocia,Biblioteka Narodowa - kartoteka autorytatywna
James Bond,Biblioteka Narodowa - kartoteka autorytatywna
Dobry wojak Szwejk,Biblioteka Narodowa - kartoteka autorytatywna
Shimmer i Shine,Biblioteka Narodowa - kartoteka autorytatywna
Jack Sparrow,Biblioteka Narodowa - kartoteka autorytatywna
Anders Knutas,Biblioteka Narodowa - kartoteka autorytatywna
Sara Weronika Sokalska,Biblioteka Narodowa - kartoteka autorytatywna
Henry Palace,Biblioteka Narodowa - kartoteka autorytatywna
Ostap Bender,Biblioteka Narodowa - kartoteka autorytatywna
Wiktor Forst,Biblioteka Narodowa - kartoteka autorytatywna
Karin Müller,Biblioteka Narodowa - kartoteka autorytatywna
Amelia Sachs,Biblioteka Narodowa - kartoteka autorytatywna
Lincoln Rhyme,Biblioteka Narodowa - kartoteka autorytatywna
Colas Breugnon,Biblioteka Narodowa - kartoteka autorytatywna
Jack Frost,Biblioteka Narodowa - kartoteka autorytatywna
Jean-Baptiste Adamsberg,Biblioteka Narodowa - kartoteka autorytatywna
Huntress,Biblioteka Narodowa - kartoteka autorytatywna
Latro,Biblioteka Narodowa - kartoteka autorytatywna
Sebastian Strzygoń,Biblioteka Narodowa - kartoteka autorytatywna
Lessa z Pernu,Biblioteka Narodowa - kartoteka autorytatywna
Panna Marple,Biblioteka Narodowa - kartoteka autorytatywna
Komisarz Maigret,Biblioteka Narodowa - kartoteka autorytatywna
Matthew Shardlake,Biblioteka Narodowa - kartoteka autorytatywna
Paweł Olszyna,Biblioteka Narodowa - kartoteka autorytatywna
Darth Vader,Biblioteka Narodowa - kartoteka autorytatywna
Sasza Załuska,Biblioteka Narodowa - kartoteka autorytatywna
Szymon Solański,Biblioteka Narodowa - kartoteka autorytatywna
Asteriks,Biblioteka Narodowa - kartoteka autorytatywna
Kajko i Kokosz,Biblioteka Narodowa - kartoteka autorytatywna
