entity,source
Wacław Sierakowski,Biblioteka Narodowa - kartoteka autorytatywna
Jiři Bittner,Biblioteka Narodowa - kartoteka autorytatywna
Ûrìj Tiŝenko,Biblioteka Narodowa - kartoteka autorytatywna
Wiesiek Powaga,Biblioteka Narodowa - kartoteka autorytatywna
Johann Praun,Biblioteka Narodowa - kartoteka autorytatywna
Frans Stoks,Biblioteka Narodowa - kartoteka autorytatywna
Diana Bartkutė,Biblioteka Narodowa - kartoteka autorytatywna
Eugeniusz Kabatc,Biblioteka Narodowa - kartoteka autorytatywna
Svenn Henrik Helms,Biblioteka Narodowa - kartoteka autorytatywna
Luda,Biblioteka Narodowa - kartoteka autorytatywna
Roman Melchior,Biblioteka Narodowa - kartoteka autorytatywna
Jolanta Herma,Biblioteka Narodowa - kartoteka autorytatywna
Oleg Borisovič Merkulov,Biblioteka Narodowa - kartoteka autorytatywna
Hubert Montarier,Biblioteka Narodowa - kartoteka autorytatywna
Jerzy Heryng,Biblioteka Narodowa - kartoteka autorytatywna
Olga Rochowska-Siwiec,Biblioteka Narodowa - kartoteka autorytatywna
Stanley Appelbaum,Biblioteka Narodowa - kartoteka autorytatywna
Marcel Bizos,Biblioteka Narodowa - kartoteka autorytatywna
Joanna Lewińska,Biblioteka Narodowa - kartoteka autorytatywna
Angelo Moretta,Biblioteka Narodowa - kartoteka autorytatywna
Irena Rayska-Surma,Biblioteka Narodowa - kartoteka autorytatywna
Ivana Dobrakovová,Biblioteka Narodowa - kartoteka autorytatywna
Matti L. Müller,Biblioteka Narodowa - kartoteka autorytatywna
Jules Janin,Biblioteka Narodowa - kartoteka autorytatywna
Kazimierz Król,Biblioteka Narodowa - kartoteka autorytatywna
Karolina Orszulewska,Biblioteka Narodowa - kartoteka autorytatywna
Richard Mašek,Biblioteka Narodowa - kartoteka autorytatywna
Kazimierz Kozłowski,Biblioteka Narodowa - kartoteka autorytatywna
Kamila Kořánová,Biblioteka Narodowa - kartoteka autorytatywna
Valentina Mihajlovna Ostrovskaâ,Biblioteka Narodowa - kartoteka autorytatywna
Monika Hankiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Barbara Jabłońska,Biblioteka Narodowa - kartoteka autorytatywna
Tomáš Toula,Biblioteka Narodowa - kartoteka autorytatywna
Margaret Kohl,Biblioteka Narodowa - kartoteka autorytatywna
Jean-Noël Hallé,Biblioteka Narodowa - kartoteka autorytatywna
Filip Rutkowski,Biblioteka Narodowa - kartoteka autorytatywna
Abraham Van Wicquefort,Biblioteka Narodowa - kartoteka autorytatywna
Karolina Piechota,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandra Derewecka,Biblioteka Narodowa - kartoteka autorytatywna
Marianna Petrincová,Biblioteka Narodowa - kartoteka autorytatywna
Zbigniew Morsztyn,Biblioteka Narodowa - kartoteka autorytatywna
Dīmī'trīs Chouliarákīs,Biblioteka Narodowa - kartoteka autorytatywna
Martha Fuller,Biblioteka Narodowa - kartoteka autorytatywna
Antonin Marek,Biblioteka Narodowa - kartoteka autorytatywna
Hermann Klein,Biblioteka Narodowa - kartoteka autorytatywna
Jola Lorenz,Biblioteka Narodowa - kartoteka autorytatywna
Maja Gorecki,Biblioteka Narodowa - kartoteka autorytatywna
Beata Maria Tylecki,Biblioteka Narodowa - kartoteka autorytatywna
Alexandra Stegh,Biblioteka Narodowa - kartoteka autorytatywna
Volker Ellerbeck,Biblioteka Narodowa - kartoteka autorytatywna
Maciej Długosz,Biblioteka Narodowa - kartoteka autorytatywna
Ilona Kischa,Biblioteka Narodowa - kartoteka autorytatywna
Erhard Broedner,Biblioteka Narodowa - kartoteka autorytatywna
Dawid Kozioł,Biblioteka Narodowa - kartoteka autorytatywna
Veronika Hromadová,Biblioteka Narodowa - kartoteka autorytatywna
Rose Marie Prajs,Biblioteka Narodowa - kartoteka autorytatywna
Iwona Kukwa,Biblioteka Narodowa - kartoteka autorytatywna
Kornél Hamvai,Biblioteka Narodowa - kartoteka autorytatywna
Natalia Opryshko,Biblioteka Narodowa - kartoteka autorytatywna
Rachel Olesnicki,Biblioteka Narodowa - kartoteka autorytatywna
Arthur O. Sandved,Biblioteka Narodowa - kartoteka autorytatywna
Agnieszka Capitanio,Biblioteka Narodowa - kartoteka autorytatywna
Wanda Żygulska-Pogonowska,Biblioteka Narodowa - kartoteka autorytatywna
Wojciech Wiesiołek,Biblioteka Narodowa - kartoteka autorytatywna
Andrzej Piotr Zakrzewski,Biblioteka Narodowa - kartoteka autorytatywna
Konstantin Êrberg,Biblioteka Narodowa - kartoteka autorytatywna
Mark Haines,Biblioteka Narodowa - kartoteka autorytatywna
Andrzej Turczyński,Biblioteka Narodowa - kartoteka autorytatywna
Galina Borisovna Dutkina,Biblioteka Narodowa - kartoteka autorytatywna
Nadia Gergało-Dąbek,Biblioteka Narodowa - kartoteka autorytatywna
Anna Kościukiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Ileana Vulpescu,Biblioteka Narodowa - kartoteka autorytatywna
Józef Mondschein,Biblioteka Narodowa - kartoteka autorytatywna
Romuald Piątkowski,Biblioteka Narodowa - kartoteka autorytatywna
Malkiel Lusternik,Biblioteka Narodowa - kartoteka autorytatywna
Szloma Rosenberg,Biblioteka Narodowa - kartoteka autorytatywna
Peter Martyn,Biblioteka Narodowa - kartoteka autorytatywna
A. R. Kozłowski,Biblioteka Narodowa - kartoteka autorytatywna
Marta Zagórowska-Acerboni,Biblioteka Narodowa - kartoteka autorytatywna
Chárīs Vlavianós,Biblioteka Narodowa - kartoteka autorytatywna
Jadwiga Niemojewska,Biblioteka Narodowa - kartoteka autorytatywna
Stanisław Piuro,Biblioteka Narodowa - kartoteka autorytatywna
Lilian Seymour-Tułasiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Ìvan Volodymyrovyč Lučuk,Biblioteka Narodowa - kartoteka autorytatywna
Magdalena Leżoń,Biblioteka Narodowa - kartoteka autorytatywna
Stanislav Vinaver,Biblioteka Narodowa - kartoteka autorytatywna
Beatrycze Żukotyńska,Biblioteka Narodowa - kartoteka autorytatywna
Donka Madej,Biblioteka Narodowa - kartoteka autorytatywna
Karel Želenský,Biblioteka Narodowa - kartoteka autorytatywna
Leonida Teodorescu,Biblioteka Narodowa - kartoteka autorytatywna
Tomasz Kulisiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Michał Radgowski,Biblioteka Narodowa - kartoteka autorytatywna
Bettina Jacobson,Biblioteka Narodowa - kartoteka autorytatywna
Kaja Doroszewska,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandra Pietraszek,Biblioteka Narodowa - kartoteka autorytatywna
Jekatherina Lebedewa,Biblioteka Narodowa - kartoteka autorytatywna
Karolina Matuszewska,Biblioteka Narodowa - kartoteka autorytatywna
Dominika Cieśla-Szymańska,Biblioteka Narodowa - kartoteka autorytatywna
G. Fr. Reiss,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandra Olędzka-Frybesowa,Biblioteka Narodowa - kartoteka autorytatywna
L. Zaktreger,Biblioteka Narodowa - kartoteka autorytatywna
Gabriela Gańczarczyk,Biblioteka Narodowa - kartoteka autorytatywna
Jakub Martewicz,Biblioteka Narodowa - kartoteka autorytatywna
Piotr Leśniewski,Biblioteka Narodowa - kartoteka autorytatywna
Eugeniusz Buchholz,Biblioteka Narodowa - kartoteka autorytatywna
Norbert Lange,Biblioteka Narodowa - kartoteka autorytatywna
Nikolaj Andreevič Slavâtinskij,Biblioteka Narodowa - kartoteka autorytatywna
Janina Kociełł,Biblioteka Narodowa - kartoteka autorytatywna
Jenny Hirsch,Biblioteka Narodowa - kartoteka autorytatywna
Erik Adolf Saudek,Biblioteka Narodowa - kartoteka autorytatywna
Felicity Verstandig,Biblioteka Narodowa - kartoteka autorytatywna
Sergio Pitol,Biblioteka Narodowa - kartoteka autorytatywna
Agnieszka Kocel-Duraj,Biblioteka Narodowa - kartoteka autorytatywna
Thalès Bernard,Biblioteka Narodowa - kartoteka autorytatywna
N. Â. G.,Biblioteka Narodowa - kartoteka autorytatywna
Anna Pawłowska,Biblioteka Narodowa - kartoteka autorytatywna
Adam Andrzej Kierski,Biblioteka Narodowa - kartoteka autorytatywna
Magda Malinowska,Biblioteka Narodowa - kartoteka autorytatywna
Kjell Rehnström,Biblioteka Narodowa - kartoteka autorytatywna
Salomon Katz,Biblioteka Narodowa - kartoteka autorytatywna
Paal Brekke,Biblioteka Narodowa - kartoteka autorytatywna
Paulina Dicksteinowa,Biblioteka Narodowa - kartoteka autorytatywna
Katarzyna Konczewska,Biblioteka Narodowa - kartoteka autorytatywna
Marek Nowogrodzki,Biblioteka Narodowa - kartoteka autorytatywna
Nora Martišková,Biblioteka Narodowa - kartoteka autorytatywna
Caterina Pascual Söderbaum,Biblioteka Narodowa - kartoteka autorytatywna
Jan Vecsile,Biblioteka Narodowa - kartoteka autorytatywna
Petronela Suchodolska,Biblioteka Narodowa - kartoteka autorytatywna
David Camus,Biblioteka Narodowa - kartoteka autorytatywna
Rosa Sala Rose,Biblioteka Narodowa - kartoteka autorytatywna
Stefan Drzazga,Biblioteka Narodowa - kartoteka autorytatywna
Danuta Sochacka-Csató,Biblioteka Narodowa - kartoteka autorytatywna
Kajetan Józef Skrzetuski,Biblioteka Narodowa - kartoteka autorytatywna
Paul Solanges,Biblioteka Narodowa - kartoteka autorytatywna
Róża Janca-Brzozowska,Biblioteka Narodowa - kartoteka autorytatywna
Maria do Rosário Pernas,Biblioteka Narodowa - kartoteka autorytatywna
Maciej Ziętara,Biblioteka Narodowa - kartoteka autorytatywna
Michel Le Bris,Biblioteka Narodowa - kartoteka autorytatywna
Ljubov' Zadojanna,Biblioteka Narodowa - kartoteka autorytatywna
Michał Wojdyła,Biblioteka Narodowa - kartoteka autorytatywna
Joanna Nowak,Biblioteka Narodowa - kartoteka autorytatywna
C. C.,Biblioteka Narodowa - kartoteka autorytatywna
Agnieszka Ginko-Humphries,Biblioteka Narodowa - kartoteka autorytatywna
Dagmar Eisenmannová,Biblioteka Narodowa - kartoteka autorytatywna
W. Y. Evans-Wentz,Biblioteka Narodowa - kartoteka autorytatywna
Witold Wiśniowski,Biblioteka Narodowa - kartoteka autorytatywna
Zofia Łubianka,Biblioteka Narodowa - kartoteka autorytatywna
Maria Łopuszańska,Biblioteka Narodowa - kartoteka autorytatywna
Marija Pečkauskaitė,Biblioteka Narodowa - kartoteka autorytatywna
Nicolas Perrot d' Ablancourt,Biblioteka Narodowa - kartoteka autorytatywna
Paul Christophersen,Biblioteka Narodowa - kartoteka autorytatywna
Stephen O'Shea,Biblioteka Narodowa - kartoteka autorytatywna
Ewa Poraj-Kuczewska,Biblioteka Narodowa - kartoteka autorytatywna
Tovij Boruhovič Gejlikman,Biblioteka Narodowa - kartoteka autorytatywna
Katsiaryna Voranava,Biblioteka Narodowa - kartoteka autorytatywna
Olof Verelius,Biblioteka Narodowa - kartoteka autorytatywna
Maria Finklówna,Biblioteka Narodowa - kartoteka autorytatywna
Eva Mrhačová,Biblioteka Narodowa - kartoteka autorytatywna
Hilda Campioni,Biblioteka Narodowa - kartoteka autorytatywna
Kateřina Hilská,Biblioteka Narodowa - kartoteka autorytatywna
Jean Legeard,Biblioteka Narodowa - kartoteka autorytatywna
Louis Mèzeray,Biblioteka Narodowa - kartoteka autorytatywna
Nina Witoszek,Biblioteka Narodowa - kartoteka autorytatywna
Jeannine Luczak-Wild,Biblioteka Narodowa - kartoteka autorytatywna
Margita Kárná,Biblioteka Narodowa - kartoteka autorytatywna
Stanislav Komárek,Biblioteka Narodowa - kartoteka autorytatywna
Jiří Pilch,Biblioteka Narodowa - kartoteka autorytatywna
Josef Mlejnek,Biblioteka Narodowa - kartoteka autorytatywna
Sofija Andruchowycz,Biblioteka Narodowa - kartoteka autorytatywna
Vladimir V. Isakovič,Biblioteka Narodowa - kartoteka autorytatywna
Manana Gelašvili,Biblioteka Narodowa - kartoteka autorytatywna
Bożena Karkowska,Biblioteka Narodowa - kartoteka autorytatywna
George Bird,Biblioteka Narodowa - kartoteka autorytatywna
Əkbǝr Mǝmmǝd oğlu Ağayev,Biblioteka Narodowa - kartoteka autorytatywna
Teresa Przepieść-Misarko,Biblioteka Narodowa - kartoteka autorytatywna
Swietłana Babczyńska,Biblioteka Narodowa - kartoteka autorytatywna
