entity,source
Biblioteca Adam Mickievicz,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Augusta,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca central da Universidade de São Paulo,Biblioteka Narodowa - kartoteka autorytatywna
"Biblioteca Centrală Universitară ""Mihai Eminescu""",Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca de la Universidad de Valladolid,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca de México José Vasconcelos,Biblioteka Narodowa - kartoteka autorytatywna
"Biblioteca del Senato ""Giovanni Spadolini""",Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca do Palácio Nacional de Mafra,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Geral da Universidade de Coimbra,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Luis Ángel Arango.,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Nazionale Braidense,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Nazionale Marciana,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Pedro Mir,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Ugo da Como,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Universitaria,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Universitaria,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca universitaria Alessandrina,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Universitaria de Santiago de Compostela,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Universitaria de Valencia,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Universitaria di Pisa,Biblioteka Narodowa - kartoteka autorytatywna
"Biblioteka ""Narodnego Domu""",Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Akademicka im. prof. Jerzego Altkorna Akademii WSB,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Akademii Kaliskiej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Akademii Sztuk Pięknych,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Aleksandryjska,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Ambrozjańska,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Antoniana,Biblioteka Narodowa - kartoteka autorytatywna
"Biblioteka Archidiecezjalnego Seminarium Misyjnego ""Redemptoris Mater""",Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Archidiecezji Wrocławskiej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Archiwalna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Archiwum Państwowego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Austriacka,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Biecz,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Bobolanum,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Bodlejańska,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Brytyjska,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Brytyjska Uniwersytetu Śląskiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Brzeźno,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Celsusa,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Chełm,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Collegium Polonicum,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Czartoryskich,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Diecezjalna im. ks. Stanisława Kujota,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka dla Niewidomych i Niepełnosprawnych,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Estońskiej Akademii Nauk,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Europejskiego Centrum Solidarności,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Fabryki Łączników,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Ferment,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Filii w Piotrkowie Trybunalskim,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Filozofskog fakulteta,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Franciszkanów,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Gdańska,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Główna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Główna Akademii Handlowej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Główna Akademii Medycznej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Główna Akademii Medycznej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Główna Akademii Medycznej im. Mikołaja Kopernika,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Główna Akademii Pedagogicznej im. Komisji Edukacji Narodowej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Główna i Centrum Infromacji Naukowej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Główna Politechniki Świętokrzyskiej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Główna Uniwersytetu Pedagogicznego im. Komisji Edukacji Narodowej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Główna Uniwersytetu Przyrodniczego we Wrocławiu,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Główna Wojskowej Akademii Technicznej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Gminna i Centrum Kultury,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka i Archiwum Diecezji Bielsko-Żywieckiej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka i Archiwum Konwentu Bonifratrów,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka i Centrum Informacji Naukowej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka i Centrum Informacji Naukowej,Biblioteka Narodowa - kartoteka autorytatywna
