entity,source
Henryk Gała,Biblioteka Narodowa - kartoteka autorytatywna
Vilém Závada,Biblioteka Narodowa - kartoteka autorytatywna
Eric Hoffer,Biblioteka Narodowa - kartoteka autorytatywna
Jack Higgins,Biblioteka Narodowa - kartoteka autorytatywna
Christopher Hibbert,Biblioteka Narodowa - kartoteka autorytatywna
Arthur Hailey,Biblioteka Narodowa - kartoteka autorytatywna
Tadeusz Kowalski,Biblioteka Narodowa - kartoteka autorytatywna
Faraydūn Sāmān,Biblioteka Narodowa - kartoteka autorytatywna
Gerald Seymour,Biblioteka Narodowa - kartoteka autorytatywna
Maurice Martin du Gard,Biblioteka Narodowa - kartoteka autorytatywna
Eligiusz Mich,Biblioteka Narodowa - kartoteka autorytatywna
Wiktor Mazurkiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Joe Ranft,Biblioteka Narodowa - kartoteka autorytatywna
David Ìsakovič Kanevs'kij,Biblioteka Narodowa - kartoteka autorytatywna
Al. Katz,Biblioteka Narodowa - kartoteka autorytatywna
Zygmunt Wójcik,Biblioteka Narodowa - kartoteka autorytatywna
Allan Massie,Biblioteka Narodowa - kartoteka autorytatywna
Franciszek Jerzy Stefaniuk,Biblioteka Narodowa - kartoteka autorytatywna
Jody Shields,Biblioteka Narodowa - kartoteka autorytatywna
Robert Foryś,Biblioteka Narodowa - kartoteka autorytatywna
Paul Milenski,Biblioteka Narodowa - kartoteka autorytatywna
Richard A. Lovett,Biblioteka Narodowa - kartoteka autorytatywna
Wanda Spalińska,Biblioteka Narodowa - kartoteka autorytatywna
Pierre Dudan,Biblioteka Narodowa - kartoteka autorytatywna
Piotr Krzykalski,Biblioteka Narodowa - kartoteka autorytatywna
Wacław Zawadowski,Biblioteka Narodowa - kartoteka autorytatywna
Marino Parodi,Biblioteka Narodowa - kartoteka autorytatywna
Marzio Milesi,Biblioteka Narodowa - kartoteka autorytatywna
Maria Ewa Aulich,Biblioteka Narodowa - kartoteka autorytatywna
Étienne Dolet,Biblioteka Narodowa - kartoteka autorytatywna
Natalia Usenko,Biblioteka Narodowa - kartoteka autorytatywna
Piotr Stoiński,Biblioteka Narodowa - kartoteka autorytatywna
