term,variant,Lemma_1,Lemma_2,source,same_as:National_Library_of_Poland,same_as:Wikidata
agon,,agon,,Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
agrafa,,agrafa,,"Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
air,,air,,Słownik Terminów Literackich (Głowiński),,
ajtiologia,,ajtiologia,,Słownik Terminów Literackich (Głowiński),,
akademicki,,akademicki,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
akademie,,akademia,,"Słownik Terminów Literackich (Głowiński) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
akademizm,,akademizm,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
akapit,,akapit,,Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Mały słownik terminów teorii tekstu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
akapit końcowy,,akapit końcowy,,Słownik pojęć i tekstów kultury,,
akapit tranzytywny,,akapit tranzytywny,,Słownik pojęć i tekstów kultury,,
akapit wstępny,,akapit wstępny,,Słownik pojęć i tekstów kultury,,
akataleksa,,akataleksa,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
akatalektyczny,,akatalektyczny,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
akatalektyka,,akatalektyk,,Słownik terminów literackich (Sierotwiński),,
akatyst,,akatyst,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
akatystarz,,akatystarz,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
akcent,,akcent,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od teorii do literatury. Słownik literacki | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
akcent daktyliczny,,akcent daktyliczny,,Słownik terminów literackich (Sierotwiński),,
